TIMESTAMP,SYMBOL,avg_chg_oi_CE,avg_chg_oi_PE,avg_price_CE,avg_price_PE,total_contracts_CE,total_contracts_PE,total_open_int_CE,total_open_int_PE,PCR,PRICE,PRICE_NEXT,price_change,price_pct_change,price_rolling_mean,total_oi,total_volume,oi_diff,chg_oi_total,oi_build_up,direction,volatility
214-05-28,BANKNIFTY,-2062.5,0.0,726.35,905.6,605.0,0.0,39750.0,0.0,0.0,815.975,119.4,-696.575,-0.853671987499617,-458.5882885712417,39750.0,605.0,39750.0,-2062.5,neutral,0,0
214-06-04,BANKNIFTY,0.0,0.0,0.0,238.8,0.0,0.0,0.0,0.0,0.0,119.4,193.8,74.4,0.6231155778894473,468.57,0.0,0.0,0.0,0.0,neutral,1,0
214-06-05,BANKNIFTY,0.0,0.0,0.0,387.6,0.0,0.0,0.0,0.0,0.0,193.8,895.225,701.425,3.619324045407636,382.64,0.0,0.0,0.0,0.0,neutral,1,1
214-06-09,BANKNIFTY,0.0,0.0,0.0,1790.45,0.0,0.0,0.0,0.0,0.0,895.225,887.8,-7.425000000000068,-0.008294004300594899,490.34499999999997,0.0,0.0,0.0,0.0,neutral,0,0
214-06-12,BANKNIFTY,0.0,0.0,0.0,1775.6,0.0,-179983.80760999845,0.0,0.0,0.0,887.8,428.9625,-458.8375,-0.5168252984906511,582.44,0.0,-179983.80760999845,0.0,0.0,neutral,0,0
214-06-16,BANKNIFTY,0.0,2505673.377535128,0.0,857.925,0.0,0.0,0.0,-49115200.06676235,0.0,428.9625,183.875,-245.08749999999998,-0.5713494769356295,505.0375,-49115200.06676235,0.0,49115200.06676235,2505673.377535128,bearish,0,0
214-06-18,BANKNIFTY,0.0,0.0,367.75,0.0,0.0,0.0,0.0,0.0,0.0,183.875,260.475,76.60000000000002,0.4165873555404488,517.9325000000001,0.0,0.0,0.0,0.0,neutral,1,0
214-06-19,BANKNIFTY,0.0,0.0,520.95,0.0,0.0,0.0,0.0,0.0,0.0,260.475,116.675,-143.8,-0.5520683366925808,531.2675,0.0,0.0,0.0,0.0,neutral,0,0
214-06-20,BANKNIFTY,0.0,0.0,0.0,233.35,0.0,0.0,0.0,0.0,0.0,116.675,865.0,748.325,6.413756160274267,375.5575,0.0,0.0,0.0,0.0,neutral,1,1
214-06-25,BANKNIFTY,0.0,-25.0,0.0,1730.0,0.0,1.0,0.0,875.0,0.0,865.0,665.4,-199.60000000000002,-0.23075144508670523,370.9975,875.0,1.0,-875.0,-25.0,neutral,0,0
214-07-03,BANKNIFTY,0.0,0.0,0.0,1330.8,0.0,0.0,0.0,0.0,0.0,665.4,432.15,-233.25,-0.35054102795311093,418.285,0.0,0.0,0.0,0.0,neutral,0,0
214-07-10,BANKNIFTY,0.0,0.0,864.3,0.0,0.0,0.0,0.0,0.0,0.0,432.15,34.075,-398.075,-0.9211500636353118,467.93999999999994,0.0,0.0,0.0,0.0,neutral,0,0
214-07-15,BANKNIFTY,0.0,6825.0,0.0,68.15,0.0,4893.0,0.0,39675.0,0.0,34.075,228.4,194.325,5.702861335289801,422.65999999999997,39675.0,4893.0,-39675.0,6825.0,bullish,1,1
214-07-28,BANKNIFTY,0.0,5150.0,0.0,456.8,0.0,-222939.39034392344,0.0,63225.0,0.0,228.4,709.625,481.225,2.1069395796847634,445.005,63225.0,-222939.39034392344,-63225.0,5150.0,bullish,1,1
214-07-30,BANKNIFTY,1425.0,13025.0,1044.25,375.0,58.0,1860.0,3750.0,62900.0,16.773333333333333,709.625,0.55,-709.075,-0.9992249427514533,413.93,66650.0,1918.0,-59150.0,14450.0,bearish,0,0
214-08-08,BANKNIFTY,0.0,0.0,0.0,1.1,0.0,0.0,0.0,25.0,0.0,0.55,608.2,607.6500000000001,1104.818181818182,280.96,25.0,0.0,-25.0,0.0,neutral,1,1
214-08-13,BANKNIFTY,0.0,0.0,0.0,1216.4,0.0,0.0,0.0,0.0,0.0,608.2,272.55,-335.65000000000003,-0.5518743834265044,316.16999999999996,0.0,0.0,0.0,0.0,neutral,0,0
214-08-20,BANKNIFTY,3280748.5620908407,0.0,545.1,0.0,0.0,0.0,0.0,0.0,0.0,272.55,920.075,647.5250000000001,2.375802605026601,363.865,0.0,0.0,0.0,3280748.5620908407,bullish,1,1
214-08-21,BANKNIFTY,0.0,0.0,1840.15,0.0,0.0,0.0,0.0,0.0,0.0,920.075,999.175,79.09999999999991,0.08597125234355885,502.2,0.0,0.0,0.0,0.0,neutral,1,0
214-08-26,BANKNIFTY,0.0,0.0,1998.35,0.0,-171058.75346782498,0.0,0.0,0.0,0.0,999.175,108.725,-890.4499999999999,-0.8911852278129456,560.11,0.0,-171058.75346782498,0.0,0.0,neutral,0,0
214-09-03,BANKNIFTY,0.0,27725.0,0.0,217.45,0.0,19081.0,0.0,176000.0,0.0,108.725,417.25,308.525,2.837663830765693,581.745,176000.0,19081.0,-176000.0,27725.0,bullish,1,1
214-09-08,BANKNIFTY,0.0,0.0,0.0,834.5,0.0,0.0,0.0,0.0,0.0,417.25,167.975,-249.275,-0.5974236069502696,543.5550000000001,0.0,0.0,0.0,0.0,neutral,0,0
214-09-23,BANKNIFTY,0.0,0.0,0.0,335.95,0.0,0.0,0.0,0.0,0.0,167.975,766.625,598.65,3.563923202857568,522.64,0.0,0.0,0.0,0.0,neutral,1,1
214-09-25,BANKNIFTY,0.0,0.0,1533.25,0.0,0.0,0.0,0.0,0.0,0.0,766.625,766.525,-0.10000000000002274,-0.00013044187184089057,491.95,0.0,0.0,0.0,0.0,neutral,0,0
214-09-29,BANKNIFTY,0.0,0.0,175.5,1357.55,0.0,0.0,525.0,34191733.36010945,65127.11116211324,766.525,839.05,72.52499999999998,0.09461530935064086,445.41999999999996,34192258.36010945,0.0,-34191208.36010945,0.0,neutral,1,0
